# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "reference_genomes/stm/stm_genome_temp.gtf" "-o" "feature_counts/stm_1110.txt" "sam/sam_11_09/278-1_stm.sorted.bam" "sam/sam_11_09/278-2_stm.sorted.bam" "sam/sam_11_09/278-3_stm.sorted.bam" "sam/sam_11_09/278-4_stm.sorted.bam" "sam/sam_11_09/278-5_stm.sorted.bam" "sam/sam_11_09/279-1_stm.sorted.bam" "sam/sam_11_09/279-2_stm.sorted.bam" "sam/sam_11_09/279-3_stm.sorted.bam" "sam/sam_11_09/279-4_stm.sorted.bam" "sam/sam_11_09/279-5_stm.sorted.bam" "-t" "transcript" "--extraAttributes" "gene_name" 
Geneid	Chr	Start	End	Strand	Length	gene_name	278-1_stm.sorted.bam	278-2_stm.sorted.bam	278-3_stm.sorted.bam	278-4_stm.sorted.bam	278-5_stm.sorted.bam	279-1_stm.sorted.bam	279-2_stm.sorted.bam	279-3_stm.sorted.bam	279-4_stm.sorted.bam	279-5_stm.sorted.bam
STM0016	Chromosome	16493	17026	-	534	NA	0	1	2	0	0	2	1	2	3	0
STM0017	Chromosome	17043	17486	-	444	NA	0	0	1	0	0	3	1	1	1	0
STM0018	Chromosome	17867	19966	+	2100	NA	15	48	28	30	25	124	163	81	43	41
STM0019	Chromosome	20058	23054	+	2997	NA	4	25	33	11	12	33	51	33	26	7
STM0020	Chromosome	23335	24039	+	705	NA	3	0	1	0	0	4	4	1	2	2
STM0021	Chromosome	24469	25011	+	543	bcfA	2	1	6	4	3	10	11	9	13	3
STM0022	Chromosome	25112	25798	+	687	bcfB	2	6	1	3	1	8	8	6	5	2
STM0023	Chromosome	25803	28424	+	2622	bcfC	0	12	11	7	8	27	31	12	7	7
STM0024	Chromosome	28425	29432	+	1008	bcfD	2	12	6	9	5	15	22	11	4	7
STM0025	Chromosome	29433	29978	+	546	bcfE	2	2	5	0	5	3	8	1	4	3
STM0026	Chromosome	29994	30512	+	519	bcfF	6	6	11	8	2	22	18	14	15	13
STM0027	Chromosome	30478	31209	+	732	bcfG	1	6	6	0	3	13	14	6	7	3
STM0028	Chromosome	31274	32119	+	846	bcfH	5	8	8	6	2	11	14	8	9	1
STM0029	Chromosome	32545	32994	-	450	NA	2	0	1	0	0	5	0	2	0	2
STM0030	Chromosome	33364	34368	+	1005	NA	0	1	1	0	0	1	1	2	1	0
STM0031	Chromosome	34376	34816	-	441	NA	0	0	0	0	0	0	0	0	0	0
STM0032	Chromosome	35339	37057	+	1719	NA	2	8	8	5	4	37	43	17	13	10
STM0033	Chromosome	37103	38674	-	1572	NA	5	31	17	6	8	68	50	21	15	14
STM0034	Chromosome	38773	39534	-	762	NA	0	2	5	0	0	4	3	2	1	1
STM0035	Chromosome	40131	41624	+	1494	NA	13	28	39	11	8	84	70	37	55	13
STM0036	Chromosome	41723	42913	+	1191	NA	7	21	18	15	7	47	51	30	32	17
STM0037	Chromosome	42932	44185	+	1254	NA	1	7	5	2	5	11	12	4	7	1
STM0038	Chromosome	44312	46027	+	1716	NA	14	41	24	14	16	95	124	32	35	32
STM0039	Chromosome	46190	47356	+	1167	nhaA	85	236	210	124	121	827	1014	327	331	184
STM0040	Chromosome	47418	48317	+	900	nhaR	35	120	103	67	70	282	453	124	223	72
STM0041	Chromosome	48372	50411	-	2040	NA	4	10	20	18	3	18	47	21	22	14
STM0042	Chromosome	50451	51824	-	1374	NA	3	4	4	5	2	12	16	9	4	3
STM0043	Chromosome	52280	52543	-	264	rpsT	108	216	325	308	180	407	890	629	1084	128
STM0044	Chromosome	52649	52864	+	216	yaaY	6	11	9	17	6	18	44	30	45	7
STM0045	Chromosome	52872	53810	+	939	ribF	14	69	145	39	37	135	172	119	162	45
STM0046	Chromosome	53855	56689	+	2835	ileS	64	381	683	312	154	706	812	521	916	218
STM0047	Chromosome	56689	57189	+	501	lspA	35	165	262	112	93	277	404	171	275	79
STM0048	Chromosome	57344	57793	+	450	slpA	22	116	143	65	49	164	222	131	184	75
STM0049	Chromosome	57796	58746	+	951	lytB	15	89	124	64	43	112	185	134	153	45
STM0050	Chromosome	58946	60148	+	1203	NA	15	43	50	37	32	83	149	82	101	22
STM0051	Chromosome	60164	61084	+	921	rihC	20	66	81	60	41	118	204	96	150	38
STM0052	Chromosome	61106	61792	-	687	NA	7	20	20	14	10	33	40	27	32	10
STM0053	Chromosome	61794	63413	-	1620	NA	9	65	51	48	34	134	226	72	75	30
STM0054	Chromosome	63548	64849	-	1302	NA	0	1	2	1	1	4	14	2	11	1
STM0055	Chromosome	64862	66637	-	1776	NA	0	2	1	1	0	2	1	3	3	0
STM0056	Chromosome	66654	66893	-	240	NA	0	1	0	0	0	0	1	0	1	0
STM0057	Chromosome	67052	68392	-	1341	NA	0	4	5	2	2	9	9	4	9	3
STM0058	Chromosome	68637	69680	+	1044	citC2	2	5	6	3	0	3	13	2	7	4
STM0059	Chromosome	69710	70003	+	294	citD2	0	2	1	0	0	1	0	2	0	1
STM0060	Chromosome	70000	70869	+	870	citE2	0	1	8	1	0	3	5	3	5	2
STM0061	Chromosome	70880	72400	+	1521	citF2	4	4	10	4	5	14	21	11	21	4
STM0062	Chromosome	72400	72951	+	552	citX2	1	2	0	3	0	1	2	1	7	2
STM0063	Chromosome	72929	73837	+	909	citG2	0	10	7	2	4	17	13	7	10	4
STM0064	Chromosome	74017	74838	+	822	dapB	15	64	67	43	31	93	165	79	114	25
STM0065	Chromosome	75088	75435	+	348	NA	1	0	0	1	0	0	4	3	4	1
STM0066	Chromosome	75880	77028	+	1149	carA	18	49	91	19	15	122	56	32	36	24
STM0067	Chromosome	77047	80274	+	3228	carB	11	118	248	70	30	247	151	57	116	70
STM0068	Chromosome	80548	80943	+	396	caiF	335	423	306	196	216	665	925	353	472	112
STM0069	Chromosome	81020	81616	-	597	caiE	57	173	130	150	97	157	335	184	172	24
STM0070	Chromosome	81725	82510	-	786	caiD	12	150	170	116	74	46	285	148	117	26
STM0071	Chromosome	82564	84117	-	1554	caiC	17	143	137	103	71	40	194	125	86	33
STM0072	Chromosome	84180	85397	-	1218	caiB	25	174	167	124	94	63	243	201	144	47
STM0073	Chromosome	85509	86651	-	1143	caiA	44	276	276	277	185	80	481	338	250	67
STM0074	Chromosome	86686	88203	-	1518	caiT	64	251	155	165	166	59	378	212	124	40
STM0075	Chromosome	88684	89454	+	771	fixA	33	108	135	133	100	30	275	155	147	31
STM0076	Chromosome	89470	90411	+	942	fixB	12	89	145	119	75	36	205	153	128	24
STM0077	Chromosome	90461	91747	+	1287	fixC	10	77	118	81	56	28	179	145	77	20
STM0078	Chromosome	91744	92031	+	288	fixX	1	11	14	12	6	2	18	25	11	6
STM0079	Chromosome	92178	93518	+	1341	yaaU	15	57	74	54	42	52	135	98	83	22
STM0080	Chromosome	93607	93837	+	231	NA	2	13	15	14	6	28	59	10	17	16
STM0081	Chromosome	94131	94547	+	417	NA	3	17	18	8	7	34	17	12	8	19
STM0082	Chromosome	94771	95061	-	291	NA	16	20	14	11	8	64	40	19	14	36
STM0083	Chromosome	95271	95465	+	195	NA	2	10	2	0	3	15	6	3	8	6
STM0084	Chromosome	95959	97848	+	1890	NA	11	15	10	9	6	112	49	28	21	31
STM0085	Chromosome	98255	98785	+	531	yabF	7	10	21	5	5	40	50	7	20	11
STM0086	Chromosome	98778	100640	+	1863	kefC	16	74	50	24	27	87	144	41	57	30
STM0087	Chromosome	100839	101318	+	480	folA	8	35	59	24	20	120	115	87	101	28
STM0088	Chromosome	101424	102272	-	849	apaH	34	109	115	63	41	254	293	151	147	91
STM0089	Chromosome	102283	102660	-	378	apaG	14	38	55	37	18	90	136	81	81	32
STM0090	Chromosome	102663	103484	-	822	ksgA	19	97	142	78	53	149	256	144	212	58
STM0091	Chromosome	103481	104470	-	990	pdxA	16	113	126	72	45	104	230	151	224	57
STM0092	Chromosome	104470	105756	-	1287	surA	36	295	335	159	121	401	633	325	493	156
STM0093	Chromosome	105810	108170	-	2361	imp	112	380	409	251	204	637	1059	466	732	179
STM0094	Chromosome	108424	109236	+	813	djlA	19	44	56	43	32	94	186	84	101	33
STM0095	Chromosome	109331	109990	-	660	rluA	9	37	59	32	25	42	90	57	82	26
STM0096	Chromosome	110002	112908	-	2907	hepA	13	72	164	91	35	130	240	147	142	25
STM0097	Chromosome	113082	115433	-	2352	polB	16	48	45	39	26	107	183	77	78	48
STM0098	Chromosome	115477	116097	-	621	NA	1	10	8	8	5	25	34	18	22	8
STM0099	Chromosome	116299	116601	+	303	NA	0	1	0	0	0	1	2	1	0	0
STM0100	Chromosome	116816	117235	+	420	NA	2	1	4	3	1	4	3	7	13	0
STM0101	Chromosome	117241	117936	-	696	araD	8	19	189	210	62	18	82	199	607	8
STM0102	Chromosome	118077	119579	-	1503	araA	10	41	365	346	123	33	162	379	1266	5
STM0103	Chromosome	119590	121299	-	1710	araB	13	50	449	386	93	61	238	378	1602	12
STM0104	Chromosome	121640	122485	+	846	araC	26	90	148	134	60	190	363	204	459	20
STM0105	Chromosome	122604	123371	+	768	yabI	7	30	55	52	19	47	95	84	152	18
STM0106	Chromosome	123410	124117	-	708	yabJ	4	21	27	20	12	22	53	43	37	10
STM0107	Chromosome	124101	125711	-	1611	yabK	3	15	22	10	6	9	26	24	24	10
STM0108	Chromosome	125687	126670	-	984	tbpA	4	17	24	5	2	30	36	27	18	7
STM0109	Chromosome	126848	128506	-	1659	yabN	21	76	84	57	37	134	173	72	115	35
STM0110	Chromosome	129057	129662	-	606	leuD	2	10	25	15	9	37	40	15	18	13
STM0111	Chromosome	129673	131073	-	1401	leuC	5	29	52	32	11	64	61	13	27	17
STM0112	Chromosome	131076	132167	-	1092	leuB	6	25	48	31	12	71	59	25	33	23
STM0113	Chromosome	132167	133738	-	1572	leuA	10	32	42	35	10	71	55	29	11	22
STM0114	Chromosome	133826	133912	-	87	leuL	3	3	8	2	2	6	9	1	6	1
STM0115	Chromosome	134569	135513	+	945	leuO	2	6	2	1	0	8	4	4	0	3
STM0116	Chromosome	135898	137559	+	1662	ilvI	10	36	38	26	15	63	47	30	61	16
STM0117	Chromosome	137562	138053	+	492	ilvH	10	68	45	42	30	113	221	88	73	35
STM0118	Chromosome	138337	139341	+	1005	fruR	57	201	245	170	106	259	543	274	508	68
STM0119	Chromosome	139947	140405	+	459	yabB	31	105	95	73	77	185	280	102	245	24
STM0120	Chromosome	140407	141348	+	942	yabC	49	322	245	201	153	446	830	310	484	183
STM0121	Chromosome	141345	141710	+	366	ftsL	21	105	88	46	39	176	310	86	121	60
STM0122	Chromosome	141726	143492	+	1767	ftsI	119	743	681	363	288	1187	1336	536	1058	271
STM0123	Chromosome	143479	144966	+	1488	murE	35	201	263	116	92	265	347	235	513	72
STM0124	Chromosome	144963	146321	+	1359	murF	27	141	226	112	75	231	278	167	352	72
STM0125	Chromosome	146315	147397	+	1083	mraY	18	114	144	63	43	107	190	114	217	46
STM0126	Chromosome	147400	148716	+	1317	murD	30	181	237	131	74	250	305	201	383	80
STM0127	Chromosome	148716	149960	+	1245	ftsW	21	119	134	64	59	147	200	122	240	53
STM0128	Chromosome	149957	151024	+	1068	murG	33	138	201	87	77	160	239	129	263	64
STM0129	Chromosome	151143	152618	+	1476	murC	50	263	279	174	106	249	462	300	581	82
STM0130	Chromosome	152611	153531	+	921	ddlB	22	135	185	118	64	232	337	173	332	65
STM0131	Chromosome	153533	154363	+	831	ftsQ	24	89	113	62	60	165	274	121	173	46
STM0132	Chromosome	154360	155622	+	1263	ftsA	71	285	326	221	177	518	914	416	565	140
STM0133	Chromosome	155683	156834	+	1152	ftsZ	144	847	1014	540	377	1246	2334	916	1352	309
STM0134	Chromosome	156935	157852	+	918	lpxC	527	1786	2201	1460	978	3764	5714	2470	2991	1161
STM0135	Chromosome	158199	158627	+	429	yacA	24	69	97	69	33	152	213	131	212	34
STM0136	Chromosome	158689	161394	+	2706	secA	50	272	624	275	154	560	680	679	1197	144
STM0137	Chromosome	161546	161941	+	396	mutT	1	5	7	15	4	17	18	14	22	4
STM0138	Chromosome	162263	162454	-	192	yacG	3	15	12	9	5	27	30	19	25	2
STM0139	Chromosome	162464	163207	-	744	yacF	16	46	54	39	28	69	117	82	82	16
STM0140	Chromosome	163207	163827	-	621	yacE	26	69	70	51	30	106	182	86	101	30
STM0141	Chromosome	164053	165096	+	1044	guaC	13	101	205	124	41	237	202	202	270	52
STM0142	Chromosome	165127	166329	-	1203	hofC	3	11	9	7	3	13	17	13	9	5
STM0143	Chromosome	166319	167704	-	1386	hofB	2	3	7	1	1	13	13	5	6	7
STM0144	Chromosome	167714	168151	-	438	ppdD	1	1	4	0	0	7	10	3	0	1
STM0145	Chromosome	168373	169266	-	894	nadC	8	39	47	32	14	59	120	62	72	17
STM0146	Chromosome	169354	169917	+	564	ampD	31	78	71	32	28	88	186	70	91	32
STM0147	Chromosome	169914	170768	+	855	ampE	15	62	73	48	26	88	178	56	104	28
STM0148	Chromosome	170860	171810	-	951	NA	9	23	41	32	17	33	43	40	105	8
STM0149	Chromosome	171810	173216	-	1407	NA	3	13	32	22	9	9	30	49	107	9
STM0150	Chromosome	173380	174753	-	1374	aroP	79	137	65	78	81	327	338	94	92	94
STM0151	Chromosome	175316	176080	+	765	pdhR	27	84	107	118	62	186	212	188	162	92
STM0152	Chromosome	176240	178903	+	2664	aceE	104	895	1974	486	234	1427	1447	805	1129	522
STM0153	Chromosome	178918	180807	+	1890	aceF	88	696	1585	273	176	1208	1206	525	783	370
STM0154	Chromosome	181007	182431	+	1425	lpdA	177	953	2039	476	307	1827	2335	915	1486	533
STM0155	Chromosome	182720	183004	+	285	NA	0	0	3	4	0	0	1	0	0	2
STM0156	Chromosome	183042	183833	-	792	NA	4	6	7	5	4	8	12	3	6	1
STM0157	Chromosome	183846	185468	-	1623	yacH	9	18	17	14	8	38	47	22	16	13
STM0158	Chromosome	185857	188454	+	2598	acnB	90	563	1028	284	189	949	1134	561	978	372
STM0159	Chromosome	188515	189357	-	843	NA	28	39	14	11	10	96	43	35	25	5
STM0160	Chromosome	189603	189965	+	363	yacL	146	256	300	119	103	650	747	214	262	189
STM0161	Chromosome	190200	191153	+	954	kdgT	6	29	15	9	12	50	67	23	14	18
STM0162	Chromosome	191150	192421	+	1272	NA	8	22	43	22	10	58	88	29	27	11
STM0163	Chromosome	192411	193394	+	984	NA	10	47	67	39	13	98	134	44	62	17
STM0164	Chromosome	193404	194171	+	768	NA	31	135	161	75	57	217	307	110	157	61
STM0165	Chromosome	194201	194995	-	795	speD	10	47	48	26	8	46	50	39	38	18
STM0166	Chromosome	195016	195876	-	861	speE	6	58	97	44	18	79	75	46	64	26
STM0167	Chromosome	195983	196330	-	348	yacC	14	28	21	24	15	42	99	43	55	16
STM0168	Chromosome	196532	198142	+	1611	cueO	17	61	91	29	21	99	139	77	119	39
STM0169	Chromosome	198220	200610	-	2391	gcd	3	59	60	26	11	140	110	46	37	70
STM0170	Chromosome	200816	201352	+	537	hpt	6	31	75	31	15	59	59	71	98	20
STM0171	Chromosome	201410	202072	-	663	yadF	23	84	107	64	44	158	223	111	133	62
STM0172	Chromosome	202181	203107	+	927	yadG	13	19	33	26	13	73	84	27	40	20
STM0173	Chromosome	203104	203874	+	771	yadH	4	17	27	14	13	31	65	30	39	10
STM0174	Chromosome	203991	205070	-	1080	stiH	4	31	14	12	14	39	67	19	28	12
STM0175	Chromosome	205079	207625	-	2547	stiC	2	5	6	3	5	15	26	11	10	7
STM0176	Chromosome	207652	208335	-	684	stiB	0	2	2	0	1	3	6	6	5	3
STM0177	Chromosome	208383	208922	-	540	stiA	0	12	10	6	3	12	22	11	8	10
STM0178	Chromosome	209293	209733	+	441	yadI	36	138	119	61	53	187	299	94	122	67
STM0179	Chromosome	209795	211024	+	1230	yadE	26	84	88	57	43	109	177	139	111	28
STM0180	Chromosome	211031	211411	-	381	panD	24	55	70	54	24	96	169	66	103	23
STM0181	Chromosome	211506	212360	-	855	panC	11	49	95	56	22	84	163	93	129	15
STM0182	Chromosome	212486	213277	-	792	panB	6	31	59	35	16	90	100	53	86	12
STM0183	Chromosome	213398	213877	-	480	folK	1	3	8	1	3	12	6	19	25	3
STM0184	Chromosome	213874	215292	-	1419	pcnB	8	52	139	82	33	101	127	152	176	45
STM0185	Chromosome	215433	216374	-	942	yadB	4	16	33	12	12	35	53	42	45	21
STM0186	Chromosome	216398	216853	-	456	dksA	108	292	455	184	149	819	960	354	419	246
STM0187	Chromosome	217030	217734	-	705	sfsA	31	81	60	36	35	192	273	91	87	71
STM0188	Chromosome	217751	218281	-	531	ligT	8	25	37	22	12	48	78	48	56	13
STM0189	Chromosome	218309	220783	+	2475	hrpB	18	84	147	78	49	162	315	151	183	50
STM0190	Chromosome	220924	223446	+	2523	mrcB	31	265	292	178	107	358	567	309	465	85
STM0191	Chromosome	223739	225928	+	2190	fhuA	24	283	187	119	75	452	437	228	140	197
STM0192	Chromosome	225977	226774	+	798	fhuC	1	32	19	16	7	25	34	26	25	14
STM0193	Chromosome	226774	227664	+	891	fhuD	1	22	21	10	4	24	16	28	19	11
STM0194	Chromosome	227661	229718	+	2058	fhuB	0	38	55	12	12	59	45	25	26	20
STM0195	Chromosome	230658	231218	+	561	stfA	2	2	4	2	1	5	6	3	7	3
STM0196	Chromosome	231304	233961	+	2658	stfC	7	15	18	14	8	22	42	28	17	10
STM0197	Chromosome	233979	234731	+	753	stfD	1	2	3	0	0	2	4	1	2	0
STM0198	Chromosome	234750	235262	+	513	stfE	0	1	1	1	0	2	2	0	1	0
STM0199	Chromosome	235259	235735	+	477	stfF	0	4	5	1	1	8	4	1	0	2
STM0200	Chromosome	235735	236265	+	531	stfG	0	2	1	1	0	3	4	1	1	1
STM0201	Chromosome	236265	237104	+	840	NA	25	46	26	22	16	94	102	45	49	37
STM0202	Chromosome	237212	238492	-	1281	hemL	40	175	210	161	90	278	592	232	429	64
STM0203	Chromosome	238662	240083	+	1422	yadQ	14	60	83	46	22	85	152	90	74	33
STM0204	Chromosome	240120	240509	+	390	yadR	81	139	129	71	70	246	333	140	161	80
STM0205	Chromosome	240610	241233	-	624	yadS	35	71	52	31	32	92	158	77	91	48
STM0206	Chromosome	241270	242070	-	801	btuF	5	15	29	18	5	27	43	33	43	11
STM0207	Chromosome	242063	242761	-	699	pfs	17	53	121	58	23	84	132	78	104	31
STM0208	Chromosome	242846	244363	+	1518	dgt	18	51	71	38	26	102	149	57	65	40
STM0209	Chromosome	244493	245920	+	1428	htrA	49	203	406	149	72	654	570	257	400	152
STM0210	Chromosome	246073	247230	+	1158	cdaR	19	77	85	52	37	107	150	112	173	47
STM0211	Chromosome	247319	247705	-	387	yaeH	211	344	368	117	123	620	886	236	392	197
STM0212	Chromosome	247952	249253	+	1302	NA	14	55	49	33	14	108	131	57	48	41
STM0213	Chromosome	249290	250114	-	825	dapD	46	181	193	120	80	264	396	178	285	101
STM0214	Chromosome	250144	252816	-	2673	glnD	30	122	101	75	46	134	264	107	212	37
STM0215	Chromosome	253053	253847	-	795	map	27	133	124	96	61	157	311	173	229	53
STM0216	Chromosome	254298	255023	+	726	rpsB	163	1085	3608	1284	580	2547	2121	2307	3526	742
STM0217	Chromosome	255281	256132	+	852	tsf	98	572	2023	786	250	1281	1020	1030	1788	267
STM0218	Chromosome	256277	257002	+	726	pyrH	14	89	227	83	45	167	180	134	190	50
STM0219	Chromosome	257149	257706	+	558	frr	153	334	489	233	177	757	1178	487	692	187
STM0220	Chromosome	257847	259043	+	1197	dxr	20	109	139	102	49	125	292	179	264	45
STM0221	Chromosome	259356	260114	+	759	uppS	23	118	138	112	53	93	266	217	225	50
STM0222	Chromosome	260127	260984	+	858	cdsA	30	83	118	53	41	119	213	114	151	44
STM0223	Chromosome	260996	262348	+	1353	yaeL	41	226	345	172	147	374	673	367	580	116
STM0224	Chromosome	262380	264794	+	2415	yaeT	119	617	1130	532	345	1061	1334	973	1942	302
STM0225	Chromosome	264917	265402	+	486	hlpA	54	236	413	274	159	453	559	431	1025	119
STM0226	Chromosome	265406	266431	+	1026	lpxD	71	366	562	261	191	495	799	535	847	159
STM0227	Chromosome	266537	266992	+	456	fabZ	20	129	195	91	81	165	298	172	283	68
STM0228	Chromosome	266996	267784	+	789	lpxA	44	212	273	128	83	263	511	251	412	119
STM0229	Chromosome	267784	268932	+	1149	lpxB	21	93	141	80	48	158	215	146	240	51
STM0230	Chromosome	268929	269525	+	597	rnhB	5	33	67	34	20	70	107	68	112	24
STM0231	Chromosome	269549	273031	+	3483	dnaE	33	157	332	160	99	237	374	263	394	75
STM0232	Chromosome	273044	274003	+	960	accA	32	100	221	78	46	222	283	172	250	74
STM0233	Chromosome	274184	275947	+	1764	NA	7	61	52	36	32	82	122	70	77	30
STM0234	Chromosome	276023	278164	+	2142	ldcC	18	63	77	42	23	102	141	77	149	37
STM0235	Chromosome	278220	278609	+	390	yaeR	6	17	25	13	7	34	56	31	39	11
STM0236	Chromosome	278672	279964	+	1293	mesJ	11	50	70	39	16	54	92	70	79	22
STM0237	Chromosome	280048	280308	-	261	rof	37	68	82	56	39	185	244	71	80	33
STM0238	Chromosome	280295	280513	-	219	yaeP	46	102	69	64	40	221	343	118	102	80
STM0239	Chromosome	280693	281238	+	546	yaeQ	6	9	23	16	11	30	65	23	46	6
STM0240	Chromosome	281235	281657	+	423	yaeJ	16	55	25	22	19	81	113	47	56	26
STM0242	Chromosome	282468	284186	-	1719	proS	47	168	336	194	90	347	515	366	532	94
STM0243	Chromosome	284297	285004	-	708	yaeB	14	21	39	20	11	40	59	50	58	11
STM0244	Chromosome	285001	285405	-	405	rcsF	9	14	25	19	17	28	45	38	67	11
STM0245	Chromosome	285524	286339	-	816	yaeC	44	108	144	72	42	230	225	76	125	60
STM0246	Chromosome	286378	287031	-	654	yaeE	10	27	35	19	6	38	27	22	14	12
STM0247	Chromosome	287024	288055	-	1032	abc	2	33	81	30	24	83	97	46	51	28
STM0248	Chromosome	288245	288811	+	567	yaeD	47	153	72	83	58	144	347	149	161	59
rrsH	Chromosome	289190	290733	+	1544	NA	13108	801	1368	455	553	1385	619	698	549	414
ileV	Chromosome	290801	290874	+	74	NA	10	50	163	88	84	135	160	190	336	36
alaV	Chromosome	290987	291059	+	73	NA	5	21	37	39	34	59	86	83	80	17
rrlH	Chromosome	291245	294337	+	3093	NA	7164	1463	4185	386	548	4202	934	825	331	3465
rrfH	Chromosome	294520	294641	+	122	NA	22	14	8	4	5	15	15	13	17	6
aspU	Chromosome	294839	294912	+	74	NA	10	9	61	15	7	67	56	27	44	16
STM0255	Chromosome	295070	295873	+	804	yafB	5	25	38	39	17	86	100	61	86	10
STM0256	Chromosome	295894	296808	-	915	yafC	5	13	11	6	6	25	21	10	18	3
STM0257	Chromosome	296913	298088	+	1176	NA	1	6	14	8	10	13	36	14	13	2
STM0258	Chromosome	298241	299020	+	780	yafD	36	129	103	82	53	190	275	110	166	70
STM0259	Chromosome	299098	299868	+	771	yafE	4	57	57	45	25	78	94	58	80	30
STM0260	Chromosome	299924	301291	-	1368	dniR	55	369	434	218	160	428	528	484	548	241
STM0261	Chromosome	301363	302118	-	756	gloB	20	28	37	14	22	72	96	55	46	18
STM0262	Chromosome	302153	302875	+	723	yafS	16	22	25	21	13	62	83	31	39	20
STM0263	Chromosome	302872	303339	-	468	rnhA	11	20	19	11	7	28	65	22	48	11
STM0264	Chromosome	303403	304134	+	732	dnaQ	20	69	66	44	38	166	237	85	107	48
aspV	Chromosome	304278	304351	+	74	NA	4	6	22	22	5	40	49	30	46	4
STM0266	Chromosome	304666	305721	-	1056	NA	0	13	10	18	9	6	22	25	22	5
STM0267	Chromosome	305732	306727	-	996	NA	0	6	3	3	2	4	7	7	5	1
STM0268	Chromosome	306724	308607	-	1884	NA	1	7	8	5	2	7	16	9	12	3
STM0269	Chromosome	308623	309117	-	495	NA	1	1	5	4	1	9	5	7	4	1
STM0270	Chromosome	309114	309938	-	825	NA	1	6	11	4	4	13	25	13	16	7
STM0271	Chromosome	309925	310827	-	903	NA	2	9	4	2	4	14	16	11	10	2
STM0272	Chromosome	311195	313834	+	2640	NA	1	8	12	7	4	9	14	10	12	1
STM0273	Chromosome	313934	314476	+	543	NA	1	1	8	2	2	4	5	2	1	2
STM0274	Chromosome	314500	316008	+	1509	NA	3	8	13	11	5	11	19	7	16	10
STM0274A	Chromosome	316071	316181	+	111	NA	0	0	0	0	0	1	1	1	0	0
STM0275	Chromosome	316308	316640	+	333	NA	0	3	0	0	0	2	0	2	0	0
STM0276	Chromosome	316894	317379	+	486	NA	1	4	0	5	0	3	4	3	3	0
STM0277	Chromosome	317684	318169	+	486	NA	0	3	1	1	0	3	4	0	1	2
STM0278	Chromosome	318154	318537	+	384	NA	0	2	0	0	0	1	0	2	0	0
STM0279	Chromosome	318680	319165	+	486	NA	0	1	2	1	0	2	2	0	0	0
STM0280	Chromosome	319232	319768	+	537	NA	2	2	0	1	1	6	8	1	0	3
STM0281	Chromosome	319772	321115	+	1344	NA	0	11	4	4	0	10	17	7	4	6
STM0282	Chromosome	321112	322416	+	1305	NA	0	8	10	5	0	7	13	8	10	2
STM0283	Chromosome	322421	323194	+	774	NA	0	1	2	0	0	1	3	2	1	0
STM0284	Chromosome	323397	323828	+	432	NA	0	1	0	0	0	0	1	0	0	0
