# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "reference_genomes/bth/bth_genome.gtf" "-o" "feature_counts/bth_1110.txt" "sam/sam_11_09/275-1_bth.sorted.bam" "sam/sam_11_09/275-2_bth.sorted.bam" "sam/sam_11_09/275-3_bth.sorted.bam" "sam/sam_11_09/275-4_bth.sorted.bam" "sam/sam_11_09/275-5_bth.sorted.bam" "sam/sam_11_09/278-1_bth.sorted.bam" "sam/sam_11_09/278-2_bth.sorted.bam" "sam/sam_11_09/278-3_bth.sorted.bam" "sam/sam_11_09/278-4_bth.sorted.bam" "sam/sam_11_09/278-5_bth.sorted.bam" "-t" "transcript" "--extraAttributes" "gene_name" 
Geneid	Chr	Start	End	Strand	Length	gene_name	275-1_bth.sorted.bam	275-2_bth.sorted.bam	275-3_bth.sorted.bam	275-4_bth.sorted.bam	275-5_bth.sorted.bam	278-1_bth.sorted.bam	278-2_bth.sorted.bam	278-3_bth.sorted.bam	278-4_bth.sorted.bam	278-5_bth.sorted.bam
gene-FE838_RS00415	NZ_CP040530.1	47983	48552	+	570	NA	63	9	3	15	10	5	7	6	17	8
gene-FE838_RS00420	NZ_CP040530.1	48627	49343	+	717	NA	45	9	3	16	16	6	3	1	11	7
gene-FE838_RS00425	NZ_CP040530.1	49367	50365	-	999	NA	149	39	24	53	70	12	24	8	45	38
gene-FE838_RS00430	NZ_CP040530.1	50526	54107	-	3582	NA	64	37	18	26	57	8	29	3	11	19
gene-FE838_RS00435	NZ_CP040530.1	54129	55583	-	1455	NA	13	10	12	13	12	3	2	0	2	2
gene-FE838_RS00440	NZ_CP040530.1	55610	57283	-	1674	NA	16	14	13	12	26	6	10	0	6	12
gene-FE838_RS00445	NZ_CP040530.1	57301	58272	-	972	NA	18	10	2	7	9	1	5	0	0	5
gene-FE838_RS00450	NZ_CP040530.1	58304	60046	-	1743	NA	17	21	12	12	19	4	8	0	4	9
gene-FE838_RS00455	NZ_CP040530.1	60075	63437	-	3363	NA	48	35	16	38	42	5	13	5	12	16
gene-FE838_RS00460	NZ_CP040530.1	63633	64601	-	969	NA	51	32	15	31	37	20	24	2	15	30
gene-FE838_RS00465	NZ_CP040530.1	65003	65584	-	582	NA	81	34	21	39	48	6	23	0	29	27
gene-FE838_RS00470	NZ_CP040530.1	65733	68009	-	2277	NA	81	53	35	49	49	10	23	1	27	16
gene-FE838_RS00475	NZ_CP040530.1	68112	70001	-	1890	NA	17	38	16	13	22	9	10	4	6	14
gene-FE838_RS00480	NZ_CP040530.1	70035	71678	-	1644	NA	21	20	16	22	30	4	15	2	8	11
gene-FE838_RS00485	NZ_CP040530.1	71693	74683	-	2991	NA	31	52	22	31	43	12	20	4	16	21
gene-FE838_RS00490	NZ_CP040530.1	74706	75770	-	1065	NA	16	9	1	13	10	4	6	0	5	4
gene-FE838_RS00495	NZ_CP040530.1	75905	78478	-	2574	NA	332	120	70	144	177	59	90	15	92	114
gene-FE838_RS00500	NZ_CP040530.1	78814	79239	+	426	NA	159	25	19	47	30	30	29	4	48	38
gene-FE838_RS00505	NZ_CP040530.1	79349	80158	+	810	NA	122	23	8	49	36	22	38	7	32	42
gene-FE838_RS00510	NZ_CP040530.1	80173	80586	+	414	tsaE	138	22	29	45	32	15	28	9	36	41
gene-FE838_RS00515	NZ_CP040530.1	80583	80807	+	225	NA	51	7	8	8	11	7	12	2	6	16
gene-FE838_RS00520	NZ_CP040530.1	80883	81176	+	294	NA	99	46	52	67	96	29	48	1	42	69
gene-FE838_RS00525	NZ_CP040530.1	81160	81537	+	378	NA	92	25	32	47	63	20	31	3	30	58
gene-FE838_RS00530	NZ_CP040530.1	81532	82842	-	1311	NA	482	105	56	134	167	45	120	21	137	132
gene-FE838_RS00535	NZ_CP040530.1	82902	83876	-	975	NA	541	161	126	225	294	46	167	26	171	156
gene-FE838_RS00540	NZ_CP040530.1	83888	85162	-	1275	NA	707	152	55	203	216	61	153	22	135	152
gene-FE838_RS00545	NZ_CP040530.1	85159	85773	-	615	NA	436	71	48	168	193	37	106	15	96	123
gene-FE838_RS00550	NZ_CP040530.1	85794	86726	-	933	NA	666	165	105	333	323	91	181	26	171	283
gene-FE838_RS00555	NZ_CP040530.1	86707	87669	-	963	NA	425	55	56	158	206	41	96	15	73	97
gene-FE838_RS00560	NZ_CP040530.1	87867	89252	-	1386	NA	18	5	3	5	10	9	6	1	1	10
gene-FE838_RS00565	NZ_CP040530.1	89265	89663	-	399	NA	3	1	0	2	2	0	0	1	2	0
gene-FE838_RS00570	NZ_CP040530.1	89668	91077	-	1410	NA	20	12	11	10	13	7	5	2	7	11
gene-FE838_RS00575	NZ_CP040530.1	91134	92408	-	1275	NA	8	3	1	2	8	1	4	1	2	1
gene-FE838_RS00580	NZ_CP040530.1	92423	92833	-	411	NA	2	0	0	0	1	0	0	0	0	0
gene-FE838_RS00585	NZ_CP040530.1	93080	94243	+	1164	NA	76	52	64	87	94	49	80	3	45	118
gene-FE838_RS00590	NZ_CP040530.1	94288	96075	-	1788	NA	27	5	1	6	9	8	7	2	23	13
gene-FE838_RS00595	NZ_CP040530.1	96177	96902	+	726	NA	105	21	13	34	34	10	24	8	21	24
gene-FE838_RS00600	NZ_CP040530.1	96912	97517	-	606	NA	21	5	4	7	5	3	6	1	10	4
gene-FE838_RS00605	NZ_CP040530.1	97826	98671	+	846	NA	58	7	6	21	25	7	15	2	10	30
gene-FE838_RS00610	NZ_CP040530.1	98740	99207	+	468	NA	10	3	2	0	4	1	1	0	0	4
gene-FE838_RS00615	NZ_CP040530.1	99291	99626	-	336	NA	1410	485	450	1117	1125	419	514	80	480	718
gene-FE838_RS00620	NZ_CP040530.1	99670	99984	-	315	trxA	504	167	166	266	263	130	174	28	175	228
gene-FE838_RS00625	NZ_CP040530.1	100053	103856	-	3804	dnaE	3142	778	526	1553	1144	331	656	142	604	637
gene-FE838_RS00630	NZ_CP040530.1	104018	104704	+	687	NA	542	96	89	317	186	81	146	36	195	200
gene-FE838_RS00635	NZ_CP040530.1	104715	105422	+	708	pssA	374	73	54	109	111	31	86	25	121	110
gene-FE838_RS00640	NZ_CP040530.1	105489	105788	+	300	NA	152	19	19	46	51	43	39	3	36	41
gene-FE838_RS00645	NZ_CP040530.1	105843	106283	-	441	NA	180	40	15	51	61	22	39	8	38	40
gene-FE838_RS00650	NZ_CP040530.1	106286	106519	-	234	NA	77	8	12	28	28	3	8	6	25	26
gene-FE838_RS00655	NZ_CP040530.1	106587	106952	+	366	NA	76	20	10	24	20	7	14	3	26	31
gene-FE838_RS00660	NZ_CP040530.1	107003	107359	+	357	NA	102	17	15	48	50	8	25	4	20	33
gene-FE838_RS00665	NZ_CP040530.1	107343	108107	+	765	NA	119	28	29	70	63	22	48	1	31	46
gene-FE838_RS00670	NZ_CP040530.1	108174	109871	+	1698	NA	377	111	111	191	266	87	146	10	110	141
gene-FE838_RS00675	NZ_CP040530.1	109913	110596	-	684	NA	317	58	52	116	146	51	57	7	56	43
gene-FE838_RS00680	NZ_CP040530.1	110708	112027	+	1320	NA	128	17	14	38	34	15	15	2	20	19
gene-FE838_RS00685	NZ_CP040530.1	112101	112811	+	711	pyrH	408	107	135	197	159	36	69	21	115	109
gene-FE838_RS00690	NZ_CP040530.1	112951	115431	+	2481	NA	101	78	48	68	99	23	57	4	56	56
gene-FE838_RS00695	NZ_CP040530.1	115437	116522	-	1086	NA	45	50	42	50	95	18	42	3	33	39
gene-FE838_RS00700	NZ_CP040530.1	116529	117488	-	960	NA	40	31	9	26	41	13	32	3	28	28
gene-FE838_RS00705	NZ_CP040530.1	117605	119653	-	2049	NA	432	240	64	586	595	66	121	14	111	155
gene-FE838_RS00710	NZ_CP040530.1	119657	119959	-	303	NA	43	23	12	16	33	8	13	0	7	19
gene-FE838_RS00715	NZ_CP040530.1	120370	121281	+	912	NA	46	2	2	7	9	10	6	4	29	6
gene-FE838_RS00720	NZ_CP040530.1	121333	121893	+	561	frr	1234	470	399	690	663	204	325	82	403	492
gene-FE838_RS00725	NZ_CP040530.1	121988	122920	+	933	rsgA	547	144	98	152	178	72	147	20	172	172
gene-FE838_RS00730	NZ_CP040530.1	123236	124318	+	1083	NA	94	119	172	203	188	31	28	7	73	60
gene-FE838_RS00735	NZ_CP040530.1	124334	127366	+	3033	NA	336	667	469	752	634	33	92	12	141	138
gene-FE838_RS00740	NZ_CP040530.1	127363	128709	+	1347	NA	145	244	166	287	283	21	50	4	52	64
gene-FE838_RS00745	NZ_CP040530.1	128860	129954	+	1095	pelA	697	246	223	411	413	78	64	11	233	253
gene-FE838_RS00750	NZ_CP040530.1	130077	131237	-	1161	NA	86	59	46	62	68	14	27	4	42	38
gene-FE838_RS00755	NZ_CP040530.1	131384	133018	-	1635	NA	3171	1533	1514	2587	2267	499	817	178	1317	1457
gene-FE838_RS00760	NZ_CP040530.1	133330	135321	-	1992	NA	1205	214	134	315	168	71	160	78	285	160
gene-FE838_RS00765	NZ_CP040530.1	135378	136637	-	1260	hflX	956	160	103	243	252	74	144	51	226	213
gene-FE838_RS00770	NZ_CP040530.1	136745	138205	-	1461	NA	1621	785	375	1107	189	84	158	24	105	218
gene-FE838_RS00775	NZ_CP040530.1	138225	141104	-	2880	NA	2969	1284	713	2005	328	153	306	49	199	402
gene-FE838_RS00780	NZ_CP040530.1	141594	142094	-	501	NA	5831	832	688	1654	1039	131	210	37	213	188
gene-FE838_RS00785	NZ_CP040530.1	142105	142797	-	693	NA	6706	1096	909	1951	1264	130	194	41	239	203
gene-FE838_RS00790	NZ_CP040530.1	142825	144321	-	1497	NA	16796	2588	2245	4837	2895	257	454	106	567	410
gene-FE838_RS00795	NZ_CP040530.1	144334	147288	-	2955	NA	38416	4979	4419	9816	5708	552	932	186	1158	929
gene-FE838_RS00800	NZ_CP040530.1	148163	149353	-	1191	NA	177	49	56	110	74	69	63	3	38	48
gene-FE838_RS00805	NZ_CP040530.1	149804	152899	+	3096	NA	12745	2809	1379	4421	1754	278	564	127	421	656
gene-FE838_RS00810	NZ_CP040530.1	152919	154328	+	1410	NA	2986	922	406	1280	469	77	183	35	130	200
gene-FE838_RS00815	NZ_CP040530.1	154457	155116	-	660	NA	145	64	36	67	98	14	16	14	43	47
gene-FE838_RS00820	NZ_CP040530.1	155178	155870	-	693	NA	77	9	6	17	23	13	25	2	32	24
gene-FE838_RS00825	NZ_CP040530.1	155973	156827	-	855	NA	2792	854	1274	2248	2363	802	1140	99	1029	1862
gene-FE838_RS00830	NZ_CP040530.1	156862	157536	-	675	rsmI	642	191	94	418	410	170	300	14	230	332
gene-FE838_RS00835	NZ_CP040530.1	157543	158262	-	720	NA	533	180	108	206	194	57	132	38	266	242
gene-FE838_RS00840	NZ_CP040530.1	158404	159003	+	600	NA	0	0	0	0	0	0	0	0	0	0
gene-FE838_RS00845	NZ_CP040530.1	159022	160155	+	1134	NA	163	38	36	84	117	36	51	21	83	72
gene-FE838_RS00850	NZ_CP040530.1	160250	160322	+	73	NA	1659	31	14	235	164	12	29	47	170	65
gene-FE838_RS00855	NZ_CP040530.1	160597	161856	+	1260	NA	35	1	3	9	1	1	2	4	13	4
gene-FE838_RS00860	NZ_CP040530.1	161903	162316	+	414	NA	84	70	54	61	101	18	29	6	41	43
gene-FE838_RS00865	NZ_CP040530.1	162418	163338	+	921	NA	95	40	25	45	61	16	29	3	60	44
gene-FE838_RS00870	NZ_CP040530.1	163340	163714	+	375	NA	32	14	7	20	15	7	5	1	15	22
gene-FE838_RS00875	NZ_CP040530.1	163901	164173	-	273	NA	148	58	41	111	132	22	48	8	37	74
gene-FE838_RS00880	NZ_CP040530.1	164740	165003	+	264	NA	1	1	0	0	0	0	0	0	0	0
gene-FE838_RS00885	NZ_CP040530.1	165015	165503	+	489	NA	1	0	0	0	0	0	0	0	0	0
gene-FE838_RS00890	NZ_CP040530.1	165510	165728	+	219	NA	0	1	0	0	0	0	0	0	0	0
gene-FE838_RS00895	NZ_CP040530.1	165747	166004	+	258	NA	0	0	0	0	0	0	0	0	0	0
gene-FE838_RS00900	NZ_CP040530.1	166025	166612	+	588	NA	2	0	0	1	2	0	0	0	0	0
gene-FE838_RS00905	NZ_CP040530.1	166640	166858	+	219	NA	1	0	1	0	0	0	0	0	0	0
gene-FE838_RS00910	NZ_CP040530.1	166982	167428	-	447	NA	5	0	2	3	1	1	2	0	0	2
gene-FE838_RS00915	NZ_CP040530.1	167444	168028	-	585	NA	3	2	2	0	2	1	1	0	0	1
gene-FE838_RS00920	NZ_CP040530.1	168030	169049	-	1020	traN	1	2	0	2	2	0	1	0	0	1
gene-FE838_RS00925	NZ_CP040530.1	169091	170416	-	1326	traM	2	2	1	4	1	0	1	0	0	1
gene-FE838_RS00930	NZ_CP040530.1	170364	170690	-	327	NA	1	0	3	1	0	0	0	0	0	0
gene-FE838_RS00935	NZ_CP040530.1	170709	171332	-	624	traK	1	0	1	1	1	0	0	0	0	0
gene-FE838_RS00940	NZ_CP040530.1	171356	172363	-	1008	traJ	3	3	1	2	1	0	2	0	0	2
gene-FE838_RS00945	NZ_CP040530.1	172365	172994	-	630	NA	2	1	1	1	0	1	2	0	0	1
gene-FE838_RS00950	NZ_CP040530.1	173072	173344	-	273	NA	0	2	0	2	1	0	0	0	0	2
gene-FE838_RS00955	NZ_CP040530.1	173351	173953	-	603	NA	0	1	2	2	1	0	1	1	0	0
gene-FE838_RS00960	NZ_CP040530.1	173956	175614	-	1659	ltrA	90	45	27	67	57	37	45	5	17	50
gene-FE838_RS00965	NZ_CP040530.1	176244	178265	-	2022	NA	12	5	5	9	16	3	5	0	0	1
gene-FE838_RS00970	NZ_CP040530.1	178250	178585	-	336	NA	1	0	0	0	2	0	0	0	0	0
gene-FE838_RS00975	NZ_CP040530.1	178617	178916	-	300	NA	1	1	1	0	2	0	1	0	0	0
gene-FE838_RS00980	NZ_CP040530.1	179062	179784	-	723	NA	15	7	14	21	12	2	9	0	2	7
gene-FE838_RS00985	NZ_CP040530.1	179797	180159	-	363	NA	1	2	1	0	1	0	0	1	0	0
gene-FE838_RS00990	NZ_CP040530.1	180163	180858	-	696	NA	5	0	1	0	3	0	0	0	0	0
gene-FE838_RS24305	NZ_CP040530.1	180752	181282	-	531	NA	1	0	0	0	0	0	0	0	0	0
gene-FE838_RS01000	NZ_CP040530.1	181294	181707	-	414	NA	27	1	1	16	23	3	3	0	0	1
gene-FE838_RS01005	NZ_CP040530.1	181721	182167	+	447	NA	1	1	0	1	0	0	0	0	0	0
gene-FE838_RS01010	NZ_CP040530.1	182142	183368	+	1227	NA	3	2	1	2	3	0	1	0	0	1
gene-FE838_RS01015	NZ_CP040530.1	183418	185427	+	2010	NA	5	0	1	2	3	0	0	1	0	1
gene-FE838_RS01020	NZ_CP040530.1	185484	186104	-	621	NA	3	1	1	0	0	0	1	0	1	0
gene-FE838_RS01025	NZ_CP040530.1	186209	187045	-	837	NA	7	1	0	3	1	0	1	0	0	0
gene-FE838_RS01030	NZ_CP040530.1	187086	187358	-	273	NA	3	0	0	5	3	1	1	0	0	1
gene-FE838_RS01035	NZ_CP040530.1	187444	187956	-	513	NA	2	1	0	2	1	0	0	0	0	0
gene-FE838_RS01040	NZ_CP040530.1	187961	189235	-	1275	NA	3	2	2	5	3	0	2	1	0	1
gene-FE838_RS01045	NZ_CP040530.1	189242	189682	-	441	NA	3	2	0	0	0	2	0	0	0	0
gene-FE838_RS01050	NZ_CP040530.1	189712	190590	-	879	NA	1	1	0	1	0	0	0	0	0	2
gene-FE838_RS01055	NZ_CP040530.1	190977	191198	+	222	NA	93	14	3	27	38	10	6	1	11	18
gene-FE838_RS01060	NZ_CP040530.1	191494	191865	-	372	NA	3	0	0	3	2	1	2	0	0	0
gene-FE838_RS01065	NZ_CP040530.1	191883	192365	-	483	NA	3	0	1	1	1	0	1	0	0	0
gene-FE838_RS01070	NZ_CP040530.1	192479	195145	-	2667	NA	22	8	2	10	18	2	5	0	3	6
gene-FE838_RS01075	NZ_CP040530.1	195393	196541	-	1149	NA	41	20	14	34	29	2	4	0	10	11
gene-FE838_RS01080	NZ_CP040530.1	196635	197576	-	942	NA	14	4	1	3	7	0	3	0	2	4
gene-FE838_RS01085	NZ_CP040530.1	197573	198865	-	1293	NA	18	18	6	13	22	5	2	1	7	6
gene-FE838_RS01090	NZ_CP040530.1	199102	199977	+	876	NA	7	0	0	0	7	1	3	0	1	1
gene-FE838_RS01095	NZ_CP040530.1	200197	201399	-	1203	NA	18	9	3	12	8	3	4	1	4	6
gene-FE838_RS01100	NZ_CP040530.1	202097	203425	+	1329	NA	4	1	2	1	4	2	2	1	1	1
gene-FE838_RS01105	NZ_CP040530.1	203452	205551	+	2100	NA	11	4	2	4	2	4	1	0	0	1
gene-FE838_RS01110	NZ_CP040530.1	205590	206057	+	468	NA	1	0	0	0	0	0	0	0	0	0
gene-FE838_RS01115	NZ_CP040530.1	206047	211773	+	5727	NA	8	7	3	8	6	0	3	0	6	2
gene-FE838_RS01120	NZ_CP040530.1	212053	212592	-	540	NA	21	1	3	4	8	6	8	0	10	9
gene-FE838_RS01125	NZ_CP040530.1	212576	213307	-	732	NA	16	2	1	3	10	0	5	2	15	5
gene-FE838_RS01130	NZ_CP040530.1	213341	214060	-	720	NA	34	6	4	8	10	6	11	7	17	16
gene-FE838_RS01135	NZ_CP040530.1	214080	216797	-	2718	NA	65	6	6	16	79	48	55	19	28	48
gene-FE838_RS24310	NZ_CP040530.1	216803	217120	-	318	NA	12	8	11	16	48	33	27	8	8	27
gene-FE838_RS01140	NZ_CP040530.1	217375	217728	-	354	NA	5	3	2	6	9	2	3	0	1	5
gene-FE838_RS01145	NZ_CP040530.1	217741	219786	-	2046	NA	13	10	8	19	15	4	13	0	0	3
gene-FE838_RS01150	NZ_CP040530.1	219770	220114	-	345	NA	6	0	3	6	1	2	3	0	1	2
gene-FE838_RS01155	NZ_CP040530.1	220776	221567	+	792	NA	11	1	3	4	3	2	0	1	0	2
gene-FE838_RS01160	NZ_CP040530.1	221693	221986	-	294	NA	0	0	0	0	0	0	0	0	0	0
gene-FE838_RS01165	NZ_CP040530.1	222040	222333	-	294	NA	0	0	0	0	0	0	0	0	0	0
gene-FE838_RS01170	NZ_CP040530.1	222612	223427	+	816	NA	31	5	10	12	28	28	17	2	22	26
gene-FE838_RS01175	NZ_CP040530.1	223615	224007	+	393	NA	15	3	1	1	5	3	1	0	4	6
gene-FE838_RS01180	NZ_CP040530.1	224084	224356	+	273	NA	1	0	1	0	6	1	0	1	7	0
gene-FE838_RS01185	NZ_CP040530.1	224588	225520	+	933	NA	16	2	8	7	9	1	1	2	12	9
gene-FE838_RS01190	NZ_CP040530.1	225523	226320	+	798	NA	10	0	1	4	10	2	2	0	5	3
gene-FE838_RS01195	NZ_CP040530.1	226391	226759	+	369	NA	10	4	2	2	7	2	2	0	8	5
gene-FE838_RS01200	NZ_CP040530.1	227169	227807	+	639	NA	25	7	5	5	5	1	5	1	7	9
gene-FE838_RS01205	NZ_CP040530.1	227827	228489	+	663	NA	10	2	2	1	5	0	2	0	2	4
gene-FE838_RS01210	NZ_CP040530.1	228517	228753	+	237	NA	4	1	0	0	0	0	0	0	0	2
gene-FE838_RS01215	NZ_CP040530.1	228877	229233	+	357	NA	3	1	0	0	0	0	0	0	2	1
gene-FE838_RS01220	NZ_CP040530.1	229283	229582	+	300	tnpB	1	0	0	1	0	0	0	1	0	1
gene-FE838_RS01225	NZ_CP040530.1	229662	231233	+	1572	NA	331	224	138	244	445	76	146	8	135	281
gene-FE838_RS01230	NZ_CP040530.1	231492	231854	+	363	NA	5	4	0	2	2	0	0	0	1	1
gene-FE838_RS01235	NZ_CP040530.1	231904	232209	+	306	tnpB	4	0	0	3	4	3	2	0	1	2
gene-FE838_RS01240	NZ_CP040530.1	232283	233854	+	1572	NA	352	153	99	261	396	39	131	7	140	203
gene-FE838_RS01245	NZ_CP040530.1	234288	235622	-	1335	NA	171	38	33	60	145	51	106	11	64	129
gene-FE838_RS01250	NZ_CP040530.1	235625	237802	-	2178	NA	682	174	191	366	428	180	292	43	232	411
gene-FE838_RS01255	NZ_CP040530.1	237805	238980	-	1176	NA	67	10	18	53	136	80	82	11	43	90
gene-FE838_RS01260	NZ_CP040530.1	239624	240427	+	804	NA	19	8	7	10	21	8	8	0	15	21
gene-FE838_RS01265	NZ_CP040530.1	240508	240867	+	360	NA	1	2	0	2	2	1	2	0	4	3
gene-FE838_RS01270	NZ_CP040530.1	242454	243275	+	822	NA	4	2	4	4	4	0	1	0	0	1
gene-FE838_RS01275	NZ_CP040530.1	243987	244397	-	411	NA	49	26	27	43	64	13	19	7	26	23
gene-FE838_RS01280	NZ_CP040530.1	244441	244830	-	390	NA	97	37	42	72	78	16	23	10	19	43
gene-FE838_RS01285	NZ_CP040530.1	245162	248248	+	3087	NA	2	17	6	3	3	0	0	0	2	1
gene-FE838_RS01290	NZ_CP040530.1	248267	250099	+	1833	NA	5	9	6	5	3	2	0	1	1	3
gene-FE838_RS01295	NZ_CP040530.1	250341	253418	+	3078	NA	43	24	81	237	50	6	19	6	55	34
gene-FE838_RS01300	NZ_CP040530.1	253452	254945	+	1494	NA	25	18	52	136	26	3	8	3	26	20
gene-FE838_RS01305	NZ_CP040530.1	255208	255771	+	564	NA	22	8	4	12	23	3	11	0	10	13
gene-FE838_RS01310	NZ_CP040530.1	255881	257029	+	1149	NA	275	50	30	83	79	8	47	6	69	41
gene-FE838_RS01315	NZ_CP040530.1	257198	257422	-	225	NA	30	17	35	44	40	11	14	1	18	44
gene-FE838_RS01320	NZ_CP040530.1	257956	258585	-	630	NA	152	42	54	72	57	33	33	7	46	55
